Deposit,Lat_WGS84,Long_WGS84,State,MinSystem,DepType,CritMin,FocusArea,DepCat,Rank ,Production,Resources,Source_s,Links
Spar Valley mine - North and South,30.93824,-105.04802,TX,Climax-type,Fluorspar,fluorspar,Eagle Mountains fluorite,CM-past producer+resources,5,"Production (1942-1949): 11,400 tons fluorspar.","Inferred reserve (1943): estimated 50,000 to 65,000 tons 40% CaF2.",MRDS (2005); Gillerman (1953); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10100557
Spor Mountain,39.707,-113.217,UT,Climax-type,Volcanogenic beryllium,"beryllium, fluorspar",Spor Mountain,CM-recent producer+resources,6,Production ongoing from 1969 to present. Production (2018-2022): combined total of 845 metric tons contained Be.,"Reserve (1970): 19.71 million short tons @0.8% BeO. Proven + Probable ore reserve (2019): 8,812,000 tons @0.248% Be. Bertrandite reserves (2011): 5.75 million dry tons @0.265% Be; bertrandite contains 15,200 metric tons Be.",Materion Corp. (2012-2021); Long (1992); Foley and others (2017),
Springer (Sutton) mine,40.77807,-118.13429,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Northern Nevada tungsten skarns,CM-past producer+resources,5,"Production (1914-1982): 3,174,253 tons ore @0.571% WO3.","Inferred resource (2013): 1,616,000 tons ore @0.459% WO3. Indicated resource (2013): 355,000 tons @0.537% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Spruce Road,47.83454,-91.67135,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel",Midcontinent Rift large mafic intrusions,CM resources,3,None.,"Inferred mineral resource (2014): 480,000,000 short tons @0.43% Cu and 0.16% Ni.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Staats mine,39.56745,-113.03192,UT,Porphyry Cu-Mo-Au,R-V manganese,manganese,Drum Mountains,CM-past producer,1,"Production: nearly 50 million lbs Mn, mainly from the Staats and Pratt mines. In 1944, 505 long tons of ore had an average grade of 36.6% Mn.",Additional large discoveries within the immediate area of the Staats and Pratt mines is not considered likely.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10020440
Star (Noonday),47.49379,-115.8182,ID,Coeur d'Alene-type,Polymetallic sulfide,zinc,Coeur d'Alene Mining District (Silver Valley antimony),CM-past producer+resources,5,Limited production 1980 - 1990 as Star Morning and Star Phoenix mines.,"Total Measured, Indicated, and Inferred resources (2022): 3,555,257 metric tons @6.4% Zn, 6.0% Pb, and 106.286 g/t Ag.",Hecla Mining Company (2023c),
Star Tungsten mine,40.0135,-119.11238,NV,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Star Tungsten Mine,CM-past producer,1,"Production (1941, 1952-56, 1972); 11,659 units of WO3; 10,580 metric tons of ore at 1.0% WO3.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111431
Stewart mine,33.38145,-117.06256,CA,Porphyry Sn (granite-related),Pegmatite LCT,lithium,Peninsular Ranges pegmatites,CM-past producer,1,"Production (1900-1929): 23,480 short tons of lepidolite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10286994
Stibnite Hill (US Antimony mine),47.57927,-115.60181,MT,Coeur d'Alene-type,Antimony,"antimony, tungsten",Coeur d'Alene mining district (Silver Valley antimony),CM-past producer,1,"Production (1970-1984): Approximately 170,000 metric tons of ore, recovering approximately 2,600 metric tons Sb.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10246021
Stillwater Mine (J-M Reef PGE deposit),45.38947,-109.87678,MT,Mafic magmatic,PGE (low sulfide),PGE,Stillwater Complex,CM-recent producer+resources,6,"Production (2020): Stillwater and East Boulder mines produced a total of 603,066 2E PGE oz in 2020 (2E = PGE ratio of 78% Pd and 22% Pt).","Mineral resources (2019): 85 million tonnes ore @17.6 g/tonne 2E PGE. Mineral reserves (2019): 26.8 million tonnes @19.4 g/tonne PGE (2E = PGE ratio of 78% Pd and 22% Pt). Proved + Probable ore reserve (2020): 31,000,000 tonnes ore @15.9 g/tonne PGE.",Burger and others (2018); Childs and Armitage (2021),https://doi.org/10.5066/P9V74HIU
Strawberry mine,37.55164,-119.29455,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Eastern California tungsten,CM-past producer+resources,5,"Production (1943-1984): 5,439 metric tons WO3.","In situ resource (1985): 100,000 metric tons ore @1% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Sullivan Creek,65.0933,-150.881,AK,Placer,Cassiterite,tin,Placer Au and Sn,CM-past producer+resources,5,"Production (1906-1956): 215,445 lbs cassiterite concentrate averaging 60% Sn, 5,463 oz Ag, and 58,136 oz Au. Significant mining since then, but more up-to-date production estimates are not available.","Indicated resource (1961): 126,956 lbs cassiterite and 475,085 grains Au (or 30,945 grams or 995 oz). Warner (1985) reported the data as 117,800 lbs Sn, indicated to remain in tailings from Sullivan Bench and Ferguson Draw.",ARDF-ID: TN093; Karl and others (2018); Wayland (1961); Warner (1985),https://doi.org/10.5066/P97JYNJL
Sun,67.0704,-155.0431,AK,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Southern Brooks Range-Ambler,CM resources,3,None.,"Indicated resource (2022): 1,713,000 tonnes @1.11% Pb, 4.32% Zn, 60.0 g/t Ag, and 0.21 g/t Au. Inferred resource: 9,018,000 tonnes @1.21% Cu, 1.46% Pb, 4.18% Zn, 81.7 g/t Ag, and 0.25 g/t Au.",ARDF-ID: SP039; Gustin (2022),
Sun Valley barite,43.54879,-114.48981,ID,Basin brine path,Barite (replacement and bedded),barite,Central Idaho barite,CM-past producer,1,"Production (1949): 6,700 tons barite; the best ore grade was 84 to 88% barite (Sun Valley mine produced most of the barite mined in Idaho).",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10216701
Sunday Complex,38.0719,-108.80487,CO,Meteoric recharge,Sandstone uranium,vanadium,Colorado Plateau sandstone uranium,CM-past producer+resources,5,"Incomplete records for production from the 6 mines in the Complex; estimated (1960-1980): 1,366500 lbs U3O8 and 8,199,000 lbs V2O5; (2007-2009): 146,194 short tons @0.97% V2O5 and 0.17% U3O8.","Total resources (2015): 423,357 metric tons @1.87% V2O5 and 0.301% U3O8.",Adkins (2015),
Sunshine/East Sunshine (Idaho Cobalt Project),45.134,-114.36366,ID,IOA-IOCG,Iron oxide copper gold,cobalt,Idaho Cobalt Belt,CM resources,3,None.,"Measured + Indicated resource (2006): 260,700 tons ore @0.604% Co, 0.327% Cu, and 0.013 oz/ton Au; cutoff grade 0.3% Co.",Burger and others (2018),https://doi.org/10.5066/P9V74HIU
Sutherland,40.2124,-118.26067,NV,Orogenic*,Antimony,antimony,NW Nevada Orogenic Antimony,CM-past producer,1,"Production: about 3000 tons of 20% Sb ore produced before 1914. Between 1915 and 1918 it was the largest antimony producer in Nevada producing 500 tons or 25 to 44 % Sb. 1948-49 produced 300 tons @33% Sb. Total production 1,542 short tons (1,402 t) Sb. ",Unknown.,MRDS (2005); Lawrence (1963); Vikre and others (2023),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10222521
SW Arkansas TETRA project- Smackover,33.30016,-93.52507,AR,Basin brine path,Basin brine,lithium,Smackover Formation lithium,CM resources,3,None.,"Total Inferred resources for the Upper and Middle Smackover Formation in both South and North Resource areas (2021): 225,000 metric tons Li metal or 1,195,000 metric tons LCE based on a cutoff of 50 mg/Li and average lithium concentrations of 399 mg/L and 160 mg/L for the South and North resource areas, respectively. Location is for the North Resource Area.",Karl and others (2019); Breuer and others (2021),https://doi.org/10.5066/P9ZKRWQF
"Tamarack, 138 Zone",46.66843,-93.1185,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, PGE",Midcontinent Rift conduit-type magmatic sulfide Ni-Cu-PGE,CM resources,3,None.,"Inferred mineral resource (2021): 3,953,000 tonnes ore @0.02% Co, 0.63% Cu, 0.82% Ni, 0.14 g/tonne Au, 0.12 g/tonne Pd, and 0.21 g/tonne Pt.",Correia and others (2021),
"Tamarack, Lower SMSU",46.6722,-93.12076,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift conduit-type magmatic sulfide Ni-Cu-PGE,CM resources,3,None.,"Inferred mineral resource (2021): 115,000 tonnes @0.51% Cu, 0.02% Co, 0.86% Ni, 0.25 g/tonne Au, 0.34 g/tonne Pd, and 0.55 g/tonne Pt. Indicated mineral resource (2021): 2,340,000 tonnes @1.32% Ni, 0.04% Co, 0.78% Cu, 0.17 g/tonne Pt, 0.12 g/tonne Au, and 0.14 g/tonne Pd.",Correia and others (2021),
"Tamarack, MSU Zone",46.66994,-93.12091,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift conduit-type magmatic sulfide Ni-Cu-PGE,CM resources,3,None.,"Inferred mineral resources (2021): 443,000 tonnes @5.93% Ni, 2.52% Cu, 0.12% Co, 0.7 g/tonne Pt, 0.26 g/tonne Au, and 0.52 g/tonne Pd. Indicated mineral resources (2021): 124,000 tonnes @2.36% Cu, 5.72% Ni, 0.23 g/tonne Au, 0.46 g/tonne Pd, and 0.6 g/tonne Pt.",Correia and others (2021),
"Tamarack, Upper SMSU",46.6722,-93.12076,MN,Mafic magmatic,Nickel-copper-PGE sulfide,"cobalt, nickel, PGE",Midcontinent Rift conduit-type magmatic sulfide Ni-Cu-PGE,CM resources,3,None.,"Inferred mineral resource (2021): 2,652,000 tonnes @0.47% Cu, 0.02% Co, 0.76% Ni, 0.12 g/tonne Au, 0.14 g/tonne Pd, and 0.25 g/tonne Pt. Indicated mineral resource (2021): 1,462,000 tonnes @1.83% Ni, 0.05% Co, 0.99% Cu, 0.42 g/tonne Pt, 0.2 g/tonne Au, 0.26 g/tonne Pd.",Correia and others (2021),
Tami-Mosi,39.19962,-114.76725,NV,Basin brine path,Reflux and hydrothermal dolomite,magnesium,Nevada high-Mg dolomite,CM resources,3,None.,"Inferred resource (2011): 412,000,000 tons @ an average grade 12.3% Mg for a contained metal content of 111 billion lbs Mg using a 12% cutoff grade.",Brown and others (2011); Buckingham and others (2014),
Tererro (Jones Hill),35.73156,-105.72904,NM,Volcanogenic seafloor,Zinc-copper sulfide,zinc,Sangre de Cristo VMS,CM-past producer+resources,5,"Production (1927-1939): 2,000,000 metric tons @13.1% Zn, 4.0% Pb, 0.78% Cu, 116 g/t Ag, and 3.63 g/t Au.","Resource estimate (1981): 5,784,307 metric tons @1.02% Cu, 1.46% Zn,0.24% Pb, 22 g/t Ag, and 1.96 g/t Au. Note this is an historical estimate, not JORC-compliant.",New World Cobalt Limited (2019),
Thicketty Creek,35.08411,-81.72727,SC,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Piedmont fluvial placers,CM resources,3,None.,"Reserves (1955), 4,276 tons monazite, 63,000 tons ilmenite, 450 tons zircon, and 6,300 tons rutile.",Bellora and others (2019); Hansen and Theobald (1955),https://doi.org/10.5066/F7FN15D1
Thigpen,32.18268,-84.08131,GA,Chemical weathering,Bauxite,aluminum,Georgia bauxite,CM-past producer+resources,5,"Production (1941-1949): virtually all major production from the district was from the Thigpen and nearby Hatton mines. In 1943, stripping was on-going at all Thigpen mines.","Resources (1971): 63,500 metric tons @38% Al2O3. District reserve estimates (1948) for bauxite, bauxitic clay, and kaolin: 5,900,000 long tons bauxite (all grades); 8,090,000 long tons bauxitic clay @45-51% Al2O3; 15,830,000 long tons bauxitic clay @40-45% Al2O3, and 245,500,000 long tons kaolin.",MRDS (2005); Zapp (1965),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10265754
Thompson Creek mine,44.31924,-114.55675,ID,Porphyry Cu-Mo-Au,Porphyry/skarn molybdenum,"rhenium, tungsten",White Cloud mineral district,CM-past producer+resources,5,"Production (1983-2014): 324,827,000 lbs Mo.","Inferred resource (2015): 700,000 tonnes ore @0.35% Mo. Unclassified resource (2017): 212,000,000 metric tons ore @0.42 g/metric ton Re. Unclassified resource (1991): 189,000 tons ore @0.93% WO3.",Karl and others (2020),https://doi.org/10.5066/P97NJLI4
Three Kids mine,36.09139,-114.91277,NV,Marine chemocline,Iron-manganese,manganese,Three Kids district,CM-past producer+resources,5,"Production (1917-1961): 2,225,000 tons of ore mined and treated, with 15-40% Mn. Total production from the district exceeded 1,000,000 tons of manganese ore.","Resource: 7,230,000 metric tons ore, grading 13.2% Mn for 954,000 metric tons of contained Mn.",MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10037203
Tin Boom,43.9341,-103.58919,SD,Porphyry Sn (granite-related),Pegmatite LCT,tin,Southern Black Hills pegmatites,CM-past producer,1,Production (1918): 0.2 short tons @60.0% Sn.,Unknown.,Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Titac (Section 34),47.20638,-92.09824,MN,Mafic magmatic,Iron-titanium oxide,"titanium, vanadium",Midcontinent Rift oxide-ultramafic intrusions (OUIs),CM resources,3,None.,"Inferred resource (2012): 45,100,000 metric tons ore @ 15.0% TiO2 and 14.74% Fe2O3 (as 28.5% ilmenite) with potential for V.",MRDS (2005); Farrow and Johnson (2012),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10111326
Titan,36.07581,-88.16752,TN,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",McNairy Sand placers,CM resources,3,None.,"Total Indicated and Inferred resources at a 0.4% total heavy minerals cutoff grade (2021): 431,000,000 metric tons @2.2% total heavy minerals, 11.5% zircon, 9.5% rutile, 40.3% ilmenite, 2.1% REE, and 14.8% staurolite.",Hyperion Metals Ltd. (2021); IperionX (2022),
TLC,38.15412,-117.27217,NV,Lacustrine evaporite,Lithium clay,lithium,Clayton Valley-Rhyolite Ridge lithium,CM resources,3,None.,"Total Measured, Indicated, and Inferred resources (2022): 2,538,000,000 metric tons @0.17% Li2O (4,350,000 metric tons Li2O).",Loveday and Kester (2023),
Tofty Gulch,65.0845,-150.9008,AK,Placer,Cassiterite,tin,Placer Au,CM-past producer+resources,5,"Production (1906-1956): 19,600 lbs Sn, 8,855 oz Au, 1,376 oz Ag.",See Idaho Gulch.,ARDF-ID: TN0858; see also TN086 (Idaho Gulch) and TN085 (Miller Gulch); Karl and others (2018),https://doi.org/10.5066/P97JYNJL
Tomichi mine,38.5653,-106.3679,CO,Climax-type,Porphyry molybdenum,rhenium,Winfield Peak-Antero,Past producer+CM resources,2,"Tomichi district production (1901-1950): 1,746,077 lbs Pb, 482,380 lbs Cu,744,433 oz Ag, 347,909,859 lbs Cu, and 1,373 oz Au.","Inferred mineral resource (2017): 711,000,000 tonnes @0.035% Mo, 0.21% Cu, 2.0 g/t Ag, 0.017 g/t Au, and 0.22 g/t Re.",Burger and Long (2018),https://doi.org/10.5066/F7KP81F2
Topaz Mountain,39.70664,-113.21802,UT,Climax-type,Volcanogenic beryllium,beryllium,Spor Mountain,CM-past producer+resources,5,"Production (1988-1993): 1,329 metric tons Be. District Be production in 2019 totaled 320,706 lbs.","Resource (1994): 13,045 metric tons @0.739% BeO.",MRDS (2005),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10179751
Torbyn,38.66428,-108.90446,CO,Meteoric recharge,Sandstone uranium,vanadium,Colorado Plateau sandstone uranium,CM-past producer+resources,5,"Production (1971): 16,835 metric tons @0.28% U3O8 and 1.09% V2O5.","Total Measured, Indicated, and Inferred resources (2009): 25,038 metric tons @0.22% U3O8 and 0.8% V2O5.",Alief (2009),
Tortugas mine,32.28902,-106.69613,NM,Hybrid magmatic REE / basin brine path,Fluorspar,"barite, fluorspar",Tortugas Mountains,CM-past producer,1,"Production (1919-1927): 15,328 tons ore; since then (until 1945) between 3,000 and 5,000 tons have been shipped; run-of-mine ore was 77.41% CaF2 (Rothrock and others, 1946). District production: Estimated 100 short tons barite and 20,751 short tons fluorite.",Unknown.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10012973
Tozimoran Creek,65.3792,-152.7892,AK,Placer,Cassiterite,tin,Kokrines-Hodzana Placers,CM-past producer,1,"Production (1938-1943): 500 lbs Sn; (1983): 12,500 lbs Sn.",Unknown.,ARDF-ID: TN022; Karl and others (2020); Warner (1985); Chapman and others (1963) ,https://doi.org/10.5066/P97NJLI4
Trail Creek,42.73333,-111.4166,ID,Marine chemocline,Phosphate,REE,Phosphoria Formation,CM resources,3,None.,"Resource (1984): 27,000,000 metric tons ore @0.159% monazite.",Bellora and others (2019),https://doi.org/10.5066/F7FN15D1
Trail Ridge,30.16496,-82.04738,FL,Placer,Ilmenite/rutile/leucoxene,"REE, titanium, zirconium",Lower Shoreline Placers,CM-recent producer+resources,6,"Production (1949-present): ilmenite, zircon, staurolite. Not all data available. Zircon production (1982-1986): 115,435 metric tons. Ilmenite production (1971-1986): Annual concentrate production ranged from about 65,000 to 90,000 metric tons containing 61-71% TiO2.","Reserve (1997): 1,328,000,000 metric tonnes ore @0.03% monazite, 36.8% ilmenite, 1.7% rutile, and 15% zircon.",MRDS (2005); Bellora and others (2019),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10288842; https://doi.org/10.5066/F7FN15D1
Trinity silver mine,40.28628,-118.54709,NV,Porphyry Sn (granite-related),Polymetallic sulfide S-R-V-IS,zinc,Trinity Range-Kamma Mountains,CM-past producer+resources,5,"Production (1987): 453,000 metric tons ore @148.237 g/metric ton Ag.","Inferred resources (2013): 19.79 million metric tons @0.354% Zn, 0.217% Pb, and 1.070 opt Ag (at a 0.8 AgEq opt cutoff).",MRDS (2005); Renaissance Gold (2013),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10042483
Triumph mine,43.645,-114.2603,ID,Basin brine path,Zinc-lead (MVT and sedex),zinc,Triumph sedex mineral system,CM-past producer+resources,5,"Production (1936-1948): 966,100 metric tons @268 g/metric ton Ag, 2 g/metric ton Au, 4% Pb, and 7% Zn. Total production (1884-1967): 176,295,742 lbs Zn.","Resource (1989): 41,000 metric tons ore @10% Zn, 6% Pb, and 206 g/metric ton Ag. Superfund site.",Mitchell (1997); MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10103877
Trout Creek mine,39.75074,-113.88614,UT,Climax-type,Polymetallic sulfide S-R-V-IS,"tungsten, zinc",Trout Creek district,CM-past producer+resources,5,"Production (1942-1943): 2,800 lbs Pb, 29,000 lbs Zn, and 225 oz Ag produced; (1955): 125 tons of ore, from which 41 stu WO3 was recovered; (1977-1978) 340 stu WO3.",Resource (1976): 45 metric tons ore @10% Zn and 0.2% WO3.,MRDS (2005); Nutt and others (1990),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10299941
Tucker Lake,48.06139,-90.67319,MN,Mafic magmatic,Iron-titanium oxide,titanium,Midcontinent Rift layered Ti-Fe in the Duluth Complex,CM resources,3,None.,Resource (1959): Estimate of 91.6 million tons of low grade material in 14 bodies ranging in size from 1 million to 19 million tons. Some layers are 35% Fe and 18% TiO2.,MRDS (2005); Dicken and others (2022),https://mrdata.usgs.gov/mrds/show-mrds.php?dep_id=10082794
Tungstar,37.3376,-118.66599,CA,Porphyry Cu-Mo-Au,S-R-V tungsten,tungsten,Eastern California tungsten,CM-past producer,1,"Production (1939-1945): 70,774 tons ore @1.97% WO3.",Unknown.,Karl and others (2020),https://doi.org/10.5066/P97NJLI4
